epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.586,1.54851,1.11707,1.27796,0.96193,0.87677,0.94932,0.47795,1.65393,0.67828,1.12809,0.00332796,0.00332796,0.00332796
2,426.89,1.2219,0.73445,1.07926,0.65997,0.66417,0.62117,0.26579,1.97415,0.95285,1.25662,0.00659534,0.00659534,0.00659534
3,607.099,1.12225,0.67757,1.02215,0.42271,0.40363,0.408,0.14742,2.20401,1.31774,1.36441,0.00979673,0.00979673,0.00979673
4,786.359,1.09258,0.6679,1.00481,0.4067,0.39129,0.39537,0.14639,2.22018,1.38255,1.4243,0.009703,0.009703,0.009703
5,964.311,0.99412,0.60225,0.96835,0.40125,0.35564,0.37979,0.13651,2.38097,1.47913,1.56412,0.009604,0.009604,0.009604
6,1140.98,0.9293,0.5653,0.93856,0.40853,0.3528,0.37876,0.13923,2.28524,1.56326,1.46744,0.009505,0.009505,0.009505
7,1314.72,0.87997,0.53466,0.92187,0.43369,0.37363,0.40774,0.16908,2.07523,1.64913,1.37354,0.009406,0.009406,0.009406
8,1489.55,0.83895,0.51242,0.91071,0.41037,0.35538,0.37985,0.14138,2.26092,1.60269,1.46037,0.009307,0.009307,0.009307
9,1663.53,0.81049,0.4937,0.90026,0.4008,0.2817,0.33473,0.13475,2.18205,2.27999,1.48728,0.009208,0.009208,0.009208
10,1838.27,0.78354,0.48114,0.89274,0.4119,0.3325,0.36739,0.14849,2.27579,1.67188,1.48936,0.009109,0.009109,0.009109
11,2016.03,0.75514,0.46407,0.88469,0.38604,0.2799,0.32335,0.14279,2.14246,2.06355,1.42524,0.00901,0.00901,0.00901
12,2192.58,0.73531,0.45287,0.88004,0.42255,0.34786,0.38119,0.17092,2.02285,1.51214,1.39656,0.008911,0.008911,0.008911
13,2367.27,0.71616,0.43897,0.87241,0.40485,0.32198,0.36423,0.14736,2.18499,1.86623,1.4335,0.008812,0.008812,0.008812
14,2542.7,0.70237,0.43265,0.86837,0.4115,0.28677,0.34205,0.14002,2.24207,2.08343,1.47606,0.008713,0.008713,0.008713
15,2718.59,0.68682,0.42168,0.86594,0.42104,0.32965,0.36967,0.14572,2.29033,1.61902,1.48723,0.008614,0.008614,0.008614
16,2895.4,0.67536,0.41454,0.86256,0.39503,0.27215,0.32425,0.12985,2.31239,2.22055,1.51587,0.008515,0.008515,0.008515
17,3072.63,0.67052,0.41165,0.86026,0.4267,0.25826,0.33117,0.14344,2.21301,2.3521,1.46054,0.008416,0.008416,0.008416
18,3247.74,0.65377,0.40299,0.85574,0.40585,0.29439,0.34498,0.14014,2.28936,1.96749,1.49612,0.008317,0.008317,0.008317
19,3422.42,0.64088,0.39624,0.85457,0.42217,0.29733,0.35268,0.14591,2.22994,2.03275,1.46518,0.008218,0.008218,0.008218
20,3600.49,0.63355,0.39129,0.85194,0.3883,0.28463,0.33005,0.13292,2.33591,1.9788,1.54449,0.008119,0.008119,0.008119
21,3774.43,0.63034,0.38617,0.85059,0.41298,0.25908,0.32416,0.14276,2.2093,2.43572,1.46982,0.00802,0.00802,0.00802
22,3948.89,0.61892,0.38245,0.84917,0.40912,0.29512,0.34754,0.15542,2.10886,2.07992,1.44635,0.007921,0.007921,0.007921
23,4122.91,0.61078,0.37676,0.84468,0.41036,0.28767,0.35107,0.15331,2.18926,2.09295,1.4743,0.007822,0.007822,0.007822
24,4297.18,0.60052,0.37225,0.84381,0.40924,0.28792,0.35088,0.14947,2.24105,2.00478,1.49139,0.007723,0.007723,0.007723
25,4470.8,0.59755,0.37022,0.84312,0.415,0.30914,0.36258,0.15156,2.21968,1.88343,1.46377,0.007624,0.007624,0.007624
26,4644.66,0.58706,0.36359,0.8429,0.41993,0.29688,0.35721,0.15525,2.18828,2.09326,1.46947,0.007525,0.007525,0.007525
27,4818.18,0.58175,0.36047,0.84015,0.40282,0.27792,0.33495,0.14211,2.25883,2.18878,1.50599,0.007426,0.007426,0.007426
28,4992.42,0.57453,0.35761,0.83684,0.40118,0.28889,0.34283,0.14912,2.21773,2.05857,1.50013,0.007327,0.007327,0.007327
29,5166.12,0.57057,0.35322,0.83493,0.41827,0.29199,0.35,0.15527,2.19288,1.97868,1.46618,0.007228,0.007228,0.007228
30,5340.32,0.55939,0.34916,0.83322,0.42367,0.29488,0.36019,0.15532,2.2278,2.08271,1.4786,0.007129,0.007129,0.007129
31,5514,0.55791,0.34829,0.83512,0.43143,0.28524,0.35571,0.15456,2.2193,2.17938,1.50321,0.00703,0.00703,0.00703
32,5688.59,0.5571,0.34746,0.83308,0.41758,0.26065,0.32836,0.15025,2.20216,2.35428,1.4699,0.006931,0.006931,0.006931
33,5863.48,0.54546,0.34021,0.82987,0.4072,0.27076,0.33492,0.15185,2.19789,2.13923,1.46939,0.006832,0.006832,0.006832
34,6037.53,0.54174,0.33749,0.83146,0.40209,0.27972,0.33707,0.15108,2.2388,2.06877,1.51431,0.006733,0.006733,0.006733
35,6212.18,0.53861,0.33747,0.83076,0.39826,0.28234,0.34085,0.15295,2.20675,2.05749,1.4834,0.006634,0.006634,0.006634
36,6387.85,0.53244,0.33215,0.82938,0.40455,0.28574,0.34429,0.15246,2.22806,2.00317,1.49316,0.006535,0.006535,0.006535
37,6562.83,0.52901,0.33146,0.82814,0.40108,0.28296,0.34164,0.15291,2.19432,2.03632,1.48239,0.006436,0.006436,0.006436
38,6736.71,0.52401,0.3271,0.82692,0.3946,0.28192,0.33731,0.15024,2.21899,2.04355,1.49586,0.006337,0.006337,0.006337
39,6911.14,0.52204,0.3273,0.82593,0.40205,0.27502,0.33513,0.1476,2.24038,2.10911,1.5034,0.006238,0.006238,0.006238
40,7085.01,0.51727,0.32235,0.82645,0.41258,0.26878,0.33514,0.14442,2.26885,2.2235,1.50053,0.006139,0.006139,0.006139
41,7261.41,0.51204,0.31969,0.82556,0.41271,0.26479,0.33947,0.15057,2.23658,2.22883,1.49238,0.00604,0.00604,0.00604
42,7435.32,0.50474,0.31813,0.82239,0.41369,0.26093,0.33915,0.15191,2.24466,2.29346,1.50077,0.005941,0.005941,0.005941
43,7609.43,0.50086,0.31571,0.82023,0.41719,0.26319,0.34309,0.15298,2.23122,2.28933,1.49366,0.005842,0.005842,0.005842
44,7783.33,0.49703,0.31287,0.82036,0.41151,0.26208,0.3396,0.15222,2.23454,2.2857,1.49618,0.005743,0.005743,0.005743
45,7956.83,0.48928,0.30763,0.81905,0.41555,0.2649,0.34296,0.15193,2.24753,2.26797,1.50494,0.005644,0.005644,0.005644
46,8130.49,0.48936,0.30897,0.82056,0.41118,0.26729,0.3419,0.15309,2.24065,2.26886,1.50428,0.005545,0.005545,0.005545
47,8304.09,0.48431,0.30597,0.82082,0.4127,0.26343,0.34149,0.15301,2.23833,2.2728,1.50644,0.005446,0.005446,0.005446
48,8478.7,0.48406,0.30587,0.81917,0.41158,0.2605,0.3406,0.15257,2.24335,2.28272,1.50497,0.005347,0.005347,0.005347
